CAS,CAS,Compound Name by Eybna,Compound Name,PubChem_CID,pubchemcid ,Eybna molecules,SMILES,Canonical_SMILES,Isomeric_SMILES,Canonical SMILES,Isomeric SMILES,Physical Description,Description,molecular type,Molecule family,Found in Cannabis,FEMA number,FEMA_No,Botanical Source,molecular mass (g/mol),Molecular Weight [g/mol],Empirical_Formula,molecular formula,Boiling Point [°C] @760 mmHg,boiling point (celsius),Melting Point [°C],Melting point (celcius),Density [g/cm3] @25 °C,density (g/cm3),Flash Point [°C],flash point (celsius),Vapor Pressure [mmHg] @25 °C,vapour pressure (kPa),Water Solubility [mg/L] @25 °C (water),Solubility General,Water Solubility (mg/l @ 20C),Physical State ,Physical State,Physical Description,Oral LD50 rat (mg/kg),Oral LD50 mouse (mg/kg),Dermal LD50 rabbit (mg/kg),ODT(ppb),aroma description,Aroma Color,Intensity (1-10),Flavor,Flavor,Odor,Odor,Odor Threshold,Long Description,Family Type
122-40-7,122-40-7,Amyl Cinnamic Aldehyde,Amyl Cinnamic Aldehyde,1712058,1712058,1,CCCCC/C(=C/C1=CC=CC=C1)/C=O,CCCCCC(C=O)=Cc1ccccc1,CCCCC/C(C=O)=C/c1ccccc1,CCCCCC(=CC1=CC=CC=C1)C=O,CCCCC/C(=C/C1=CC=CC=C1)/C=O,Solid,"Found in chamomile and jasmine, amyl cinnamic aldehyde is known for its strong floral scent. It's used in perfumery to create floral fragrances and in flavorings for its subtle sweetness.",Aldehyde ,Oxygenated Aliphatics,1,2061,2061,Cassia bark,202.29,202.29,C14H18O,C14H18O,,284,80,39.2,,0.9711,,100,,0.00431,,"Soluble in acetone, carbon tetrachloride; Soluble in 6 volumes of 80% alcohol; Insoluble in water",Insoluble,liquid ,solid,Solid,3730,,2000,,"Tropical, waxy, floral",#efd79a,,,,Floral cinnamon,Jasmine-like odor,,"Sweet, cinnamon, black pepper spice, balsamic, cocoa, green notes","Sweet, Spicy, Floral"
4180-23-8,4180-23-8,Anethole,Anethole,637563,637563,1,C/C=C/C1=CC=C(C=C1)OC,CC=Cc1ccc(OC)cc1,C/C=C/c1ccc(OC)cc1,CC=CC1=CC=C(C=C1)OC,C/C=C/C1=CC=C(C=C1)OC,"Anethole appears as white crystals or a liquid. Odor of anise oil and a sweet taste. (NTP, 1992); Liquid; White solid with an odor of anise; Affected by light; [Hawley] Colorless liquid with a sweet odor of aniseed; [Merck Index] Colorless crystalline solid or liquid; mp = 20-23 deg C; [MSDSonline]; Colourless to faintly yellow liquid with an aniseed-like odour","Sourced from anise and fennel, anethole is known for its sweet, licorice-like aroma. It's widely used in flavorings for its distinct taste and in perfumery for its sweet, aromatic note.",Phenol Methyl Ether,Cyclic Oxygenated Compounds,1,2086,2086,Anise,148.2,148.2,C10H12O,C10H12O,234.5,235,21.33,21.3,,0.9882,90.56,88.4,,0.0092,-1000,"Slightly soluble (NTP, 1992); 1:8 IN 80% ALCOHOL; 1:1 IN 90% ETHANOL; ALMOST WATER INSOL; MISCIBLE WITH CHLOROFORM & ETHER; Water solubility = 1.110E-1 g/l @ 25 °C; Slightly soluble in water; miscible with chloroform and ether; 1 ml in 2 ml 96% alcohol (in ethanol)",180,liquid ,liquid,"Anethole appears as white crystals or a liquid. Odor of anise oil and a sweet taste. (NTP, 1992); Liquid; White solid with an odor of anise; Affected by light; [Hawley] Colorless liquid with a sweet odor of aniseed; [Merck Index] Colorless crystalline solid or liquid; mp = 20-23 deg C; [MSDSonline]; Colourless to faintly yellow liquid with an aniseed-like odour",2090,,,,licorice,,,SWEET TASTE,,,ANISE OIL ODOR,,,
0123-11-5,0123-11-5,Anisic Aldehyde,Anisic Aldehyde,31244,31244,1,COC1=CC=C(C=C1)C=O,COc1ccc(C=O)cc1,,COC1=CC=C(C=C1)C=O,,"Dry Powder, Liquid, Other Solid; Liquid; Colorless to pale yellow liquid; [Hawley] Colorless liquid; [MSDSonline]; Liquid; colourless to slightly yellow liquid with a Intensely sweet, floral odour","Found in aniseed, anisic aldehyde has a sweet, floral aroma reminiscent of licorice. It's used in perfumes and flavorings, especially in confectionery and alcoholic beverages for its distinctive scent and taste.",Aldehyde,Cyclic Oxygenated Compounds,1,2670,2670,Anise,136.2,136.15,C8H8O2,C8H8O2,,248,0,0,,1.115,116,108.89,-2,0.133,3,"In water, 4.29X10+3 mg/L at 25 °C; Insoluble in water; Miscible with ethanol, diethyl ether; very soluble in acetone, chloroform; soluble in benzene.; Soluble in 5 volumes of 5% alcohol; 4.29 mg/mL at 25 °C; poorly soluble in water, glycols, glycerol; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",4.29X10+3,liquid ,liquid,"Dry Powder, Liquid, Other Solid; Liquid; Colorless to pale yellow liquid; [Hawley] Colorless liquid; [MSDSonline]; Liquid; colourless to slightly yellow liquid with a Intensely sweet, floral odour",3210,,1400,,anisic,#ea92b3,0.20,"Sweet powdery, spicy creamy, spice anise, nutty, cherry pit and almond-like nuances.; It has a bitter flavor above 30 to 40 ppm.",Sweet almond-arak,Almonds,"Hawthorn odor; Odor resembles that of coumarin; Sweet powdery, spicy creamy, fruity, vanilla and hay-like. Coumarin, almond, anisic with berry nuances.",,"Alcoholic, arak, almonds, marzipan, sweet liquor, liccorich notes","Alcoholic, Sweet"
104-21-2,104-21-2,Anisyl Acetate,Anisyl Acetate,7695,7695,1,CC(=O)OCC1=CC=C(C=C1)OC,COc1ccc(COC(C)=O)cc1,,CC(=O)OCC1=CC=C(C=C1)OC,,"Liquid; Solid; colourless to pale yellow liquid with a floral, fruity, balsamic odour","Derived from anise and fennel, anisyl acetate offers a sweet, floral fragrance with a hint of licorice. It's commonly used in floral perfumes and flavorings to add depth and sweetness.",Ketone,Cyclic Oxygenated Compounds,1,2098,2098,Anise,180.2,180.2,C10H12O3,C10H12O3,,270,84,84,,1.104,,137,,0.0028,,"insoluble in water, glycerol, propylene glycol; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",Insoluble,liquid ,liquid,"Liquid; Solid; colourless to pale yellow liquid with a floral, fruity, balsamic odour",2490,,5000,,powdery,#ffdac1,,,,Floral anyise,,,"Arak, licorice, floral, sweet notes, fruit punch, apple candy, gummy bears","Candy, Alcoholic, Sweet"
100-51-6,100-51-6,Benzyl Alcohol,Benzyl Alcohol,244,244,1,C1=CC=C(C=C1)CO,OCc1ccccc1,,C1CCC(CC1)CO,,"Benzyl alcohol appears as a clear colorless liquid with a pleasant odor. Slightly denser than water. Flash point 194 °F. Boiling point 401 °F. Contact may irritate skin, eyes, and mucous membranes. May be slightly toxic by ingestion. Used to make other chemicals.; Liquid; NKRA; Colourless, clear liquid with a faint, aromatic odour; A colorless liquid with a sharp burning taste and slight odor; [ChemIDplus]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid with a slightly pungent, faint aromatic, fruity odour; A clear colorless liquid with a pleasant odor.","Sourced from jasmine and tea, benzyl alcohol has a mild, floral, slightly sweet aroma. It's used as a solvent in inks, paints, and lacquers, and in personal care products for its preservative and fragrance properties.",Alcohol,Cyclic Oxygenated Compounds,1,2137,2137,Cassia bark,108.14,108.14,C6H5,C7H8O,205,205,-15.28,-15,,1.04,100.56,93,0.094,0.18,900,"10 to 50 mg/mL at 70 °F (NTP, 1992); 33 mg/mL, clear, colorless; Soluble in water, ethanol and ether; In water, 42,900 mg/L at 25 °C; In water, 35,000 mg/L at 20 °C; Soluble in benzene, methanol, chloroform, ethanol, ether, methanol, chloroform and acetone; One gram dissolves in 25 mL water; one vol dissolves in 1.5 vols of 50% ethyl alcohol; freely soluble in 50% alcohol; miscible with absolute and 94% alcohol, ether, chloroform.; 42.9 mg/mL at 25 °C; Solubility in water, g/100ml: 4; slightly soluble in water, soluble in organic solvents, oils; miscible at room temperature (in ethanol)",4 g/100ml,liquid ,liquid,"Benzyl alcohol appears as a clear colorless liquid with a pleasant odor. Slightly denser than water. Flash point 194 °F. Boiling point 401 °F. Contact may irritate skin, eyes, and mucous membranes. May be slightly toxic by ingestion. Used to make other chemicals.; Liquid; NKRA; Colourless, clear liquid with a faint, aromatic odour; A colorless liquid with a sharp burning taste and slight odor; [ChemIDplus]; Liquid; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless liquid with a slightly pungent, faint aromatic, fruity odour; A clear colorless liquid with a pleasant odor.",,,,,Slightly aromatic,,1.20,Sharp burning taste,,,Faint aromatic odor,Odor Threshold Low: 5.5 [ppm]; Odor threshold from CHEMINFO; 5.5 ppm,,
102-16-9,102-16-9,Benzyl Phenyl Acetate,Benzyl Phenyl Acetate,60999,60999,1,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,O=C(Cc1ccccc1)OCc1ccccc1,,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,,"Benzyl phenylacetate is a clear colorless liquid with a honey-like odor. (NTP, 1992); colourless liquid with a sweet, honey-floral odour","Sourced from jasmine and ylang-ylang, benzyl phenyl acetate has a sweet, floral aroma. It's used in perfumes for its rich, floral scent and in flavorings to impart a mild, sweet note.",aromatic Ester ,Cyclic Oxygenated Compounds,1,2149,2149,Cassia bark / Cane sugar,226.27,226.27,C15H14O2,C15 H14 O2,,318,,51.5,,1.094,93.33,93,,1.60E-05,,"less than 1 mg/mL at 68 °F (NTP, 1992); insoluble in water; soluble in organic solvents, oils; miscible at room temperature (in ethanol)",Insoluble,liquid ,liquid,"Benzyl phenylacetate is a clear colorless liquid with a honey-like odor. (NTP, 1992); colourless liquid with a sweet, honey-floral odour",5000,,5000,"[64,90]","Sweet, floral ",#f7c86d,2.00,,,Honey,,,"Chamomile, almonds, tea, creamy honey, sweet","Creamy, Sweet"
87-44-5,87-44-5,beta-Caryophyllene,beta-Caryophyllene,5281515,5281515,1,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,C=C1CCC=C(C)CCC2C1CC2(C)C,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"Beta-caryophyllene is a pale yellow oily liquid with an odor midway between odor of cloves and turpentine. (NTP, 1992); Liquid; Liquid with a terpene odor between cloves and turpentine; [Merck Index] Pale yellow oily liquid; [CAMEO] Clear colorless liquid with a sweet woody odor;; Solid; Colourless to slightly yellow oily liquid; woody-spicy, dry, clove-like aroma","Found in black pepper, cloves, and cinnamon, beta-caryophyllene is known for its spicy and woody aroma. Used primarily in culinary applications and as a dietary cannabinoid, it contributes to anti-inflammatory and analgesic properties.",Sesquiterpene,Terpenes,1,2252,2252,Clove oil,204.4,204.35,C15H24,C15H24,,262,25,95,,0.9075,101.11,101.11,,0.04,,"less than 1 mg/mL at 70 °F (NTP, 1992); Insoluble in water; soluble in oils, ether; Soluble (in ethanol)",3,liquid ,liquid,"Beta-caryophyllene is a pale yellow oily liquid with an odor midway between odor of cloves and turpentine. (NTP, 1992); Liquid; Liquid with a terpene odor between cloves and turpentine; [Merck Index] Pale yellow oily liquid; [CAMEO] Clear colorless liquid with a sweet woody odor;; Solid; Colourless to slightly yellow oily liquid; woody-spicy, dry, clove-like aroma",5000,5000,12800,"[64,90]",spicy,#9993af,,,,Sweet Spices,,,"Woody, black pepper, clove, earthy. A bit soapy. Has some sweetness, floral notes.","Spicy, woody, Earthy"
123-35-3,123-35-3,Myrcene,Beta-Myrcene,31253,31253,1,CC(=CCCC(=C)C=C)C,C=CC(=C)CCC=C(C)C,,CC(=CCCC(=C)C=C)C,,"Myrcene, [liquid] appears as a yellow oily liquid with a pleasant odor. Flash point below 200 °F. Insoluble in water and less dense than water.; Liquid; Yellow liquid with a pleasant odor; [Hawley]; Colourless or very pale straw-coloured mobile liquid; sweet balsamic aroma","Found in hops, mangoes, and lemongrass, beta-myrcene is known for its musky, earthy aroma. It's used in the flavoring and fragrance industry and is believed to have sedative and muscle relaxant effects.",Monoterpene,Terpenes,1,2762,2762,Pine oil,136.2,136.23,C10H16,C10H16,167,167,-10,-10,,0.794,39.44,45,2.09,0.28,5.6,"Soluble in alcohol, chloroform, ether, glacial acetic acid; Soluble in ethanol and benzene; Soluble in oxygenated and chlorinated solvents.; In water, 5.60 mg/L at 25 °C; In water, 4.09 mg/L at 25 °C; 0.0056 mg/mL at 25 °C; Insoluble in water; soluble in oils; Soluble (in ethanol)",5.6,liquid ,liquid,"Myrcene, [liquid] appears as a yellow oily liquid with a pleasant odor. Flash point below 200 °F. Insoluble in water and less dense than water.; Liquid; Yellow liquid with a pleasant odor; [Hawley]; Colourless or very pale straw-coloured mobile liquid; sweet balsamic aroma",5000,3380,5000,13,spicy,#daa62b,,"SWEET, CITRUS",,Mango,Pleasant; Terpene odor,,"Sweet, fruity, ripe mango, stinky","Fruity, Sweet"
13877-91-3,13877-91-3,Ocimene,beta-Ocimene,18756,5281553,1,CC(=CCC=C(C)C=C)C,C=CC(C)=CCC=C(C)C,,CC(=CCC=C(C)C=C)C,CC(=CC/C=C(\C)/C=C)C,Colourless to straw-coloured mobile liquid; warm herbaceous aroma,"Commonly found in mint, parsley, and basil, trans-beta-ocimene is characterized by its sweet, herbal aroma. It's used in perfumery and as an insecticide, noted for its role in plant defense mechanisms.",Monoterpene,Terpenes,1,3539,3539,Black currants,136.2,136.23,C10H16,C10H16,,184.1,,50,,0.801,,56,,0.2207,,Insoluble in water; soluble in oils; Soluble (in ethanol),Insoluble,liquid ,liquid,Colourless to straw-coloured mobile liquid; warm herbaceous aroma,5000,,2500,,floral,#d2c88f,,,,Super glue,,,"Glue, daisy floral notes. sour, very tangent","Sour, Floral"
127-91-3,127-91-3,Beta-Pinene,Beta-Pinene,14896,14896,1,CC1(C2CCC(=C)C1C2)C,C=C1CCC2CC1C2(C)C,,C1(=C)C2CC(CC1)C2(C)C,,"Liquid; Colorless liquid with a turpentine-like odor; [HSDB]; Colourless mobile liquid; dry woody, resinous piney aroma; Colorless, transparent liquid.","Found in conifer trees and orange peels, beta-pinene is known for its sweet, woody aroma. Used primarily in the fragrance industry and for therapeutic purposes, it acts as a bronchodilator and has anti-inflammatory effects.",Monoterpene,Terpenes,1,2903,2903,Turpentine oil,136.2,136.23,C10H16,C10H16,-166,166,-61.5,−61.54,,0.86,31.11,39,2.93,0.69,,"INSOL IN WATER; SOL IN ALC, ETHER, BENZENE, & OTHER SOLVENTS; VERY SOL IN CHLOROFORM /D- & L-ISOMER/; ALMOST INSOL IN PROPYLENE GLYCOL; Soluble in benzene, ethanol and ethyl ether; Soluble in alcohol and chloroform; Insoluble in water; soluble in oils; Insoluble (in ethanol)",64,liquid ,liquid,"Liquid; Colorless liquid with a turpentine-like odor; [HSDB]; Colourless mobile liquid; dry woody, resinous piney aroma; Colorless, transparent liquid.",4700,,5000,"[140,140]",herbal,#288e8c,,"PINEY, TURPENTINE-LIKE TASTE",,Fresh pine,"CHARACTERISTIC TURPENTINE ODOR; DRY, WOODY OR RESINOUS AROMA; PINEY, TURPENTINE-LIKE ODOR; Terpene odor",,"Spicy tangent pine, diesely, citrusy, terpentine, fresh","Herbal, Fresh"
